"","citric acid","residual sugar","density","pH","alcohol","quality"
"0",0.39,2.2,0.99572,3.33,12.1,6
"1",0.73,2.3,0.99854,3.32,12.8,6
"2",0.03,2.1,0.9966,3.52,11.3,7
"3",0.22,2.6,0.9973,3.2,9.8,5
"4",0.3,2.3,0.99444,3.2,9.5,6
"5",0.44,2.2,0.9982,3.11,9.6,5
"6",0,2.3,0.99552,3.34,11.3,6
"7",0.32,1.8,0.9956,3.3,9.7,6
"8",0.55,2.2,1.0008,3.17,9.8,6
"9",0.09,2.2,0.99682,3.51,9.5,5
"10",0.24,2.6,0.9976,3.31,9.4,5
"11",0.42,2.4,0.9972,3.08,10.8,7
"12",0.24,2.7,0.9981,3.04,10,6
"13",0.28,1.8,0.9948,3.38,9.3,4
"14",0.03,2.2,0.99736,3.56,11,6
"15",0.24,2.8,0.9978,3.21,9.4,5
"16",0.6,2.3,0.99628,3.1,12,7
"17",0.28,2.4,0.9969,3.22,9.8,6
"18",0.34,2.6,0.99683,3.22,10,6
"19",0.16,3,0.9981,3.61,13.1,8
"20",0.31,1.8,0.999,3.16,9.1,5
"21",0.24,2.4,0.9976,3.12,9.6,5
"22",0,3,0.99888,3.3,9.5,5
"23",0.01,1.8,0.99258,3.38,11,6
"24",0,1.9,0.9966,3.31,9.7,5
"25",0.32,2,0.9947,3.27,11.2,7
"26",0,2.2,0.99472,3.38,11.8,6
"27",0.57,2.4,0.9986,3.17,11,4
"28",0.18,1.9,0.9969,3.17,9.5,6
"29",0.55,2.2,0.9988,3.18,9.4,6
"30",0.07,2.5,0.99476,3.37,10,7
"31",0.24,2.3,0.9952,3.54,9.7,6
"32",0.39,1.5,0.99808,3.32,11,5
"33",0.29,2.1,0.9967,3.26,11.8,7
"34",0.26,2.3,0.998,3.12,9.2,5
"35",0.06,1.9,0.9975,3.34,9.6,6
"36",0.3,1.8,0.9978,3.4,10.3,6
"37",0.21,2.5,0.99596,3.19,9.2,5
"38",0.49,2.8,0.9987,3.04,10.7,6
"39",0.11,1.9,0.99765,3.1,10.7,5
"40",0.02,2.6,0.99587,3.37,10.1,6
"41",0.49,14,1.0021,3.42,11.6,6
"42",0.29,2.8,0.9959,3.33,9.5,3
"43",0.42,2.6,0.9965,3.16,9.5,5
